"Date (dd/mm/yy)","Generated (kWh)","Efficiency (kWh/kW)","Exported (kWh)","Peak Power (kW)","Peak Time (hh:mm:am/pm)","Weather Conditions (category)"
23/03/19,74.313,5.308,59.955,12.212,1:00PM,Fine
22/03/19,80.318,5.737,61.597,12.216,2:10PM,Fine
21/03/19,28.691999999999997,2.049,13.145999999999999,10.728,11:25AM,Mostly Cloudy
20/03/19,29.159000000000002,2.083,17.695,10.802,2:30PM,Mostly Cloudy
19/03/19,77.32600000000001,5.523,64.382,11.345999999999998,12:40PM,Fine
18/03/19,78.009,5.572,66.741,11.357000000000001,12:45PM,Fine
17/03/19,77.689,5.5489999999999995,64.185,11.302999999999999,12:55PM,Fine
16/03/19,77.89399999999999,5.564,56.446000000000005,11.748,1:15PM,Fine
15/03/19,66.837,4.774,47.318999999999996,12.217,1:35PM,Fine
14/03/19,83.76299999999999,5.983,68.08,12.147,12:50PM,Fine
13/03/19,65.194,4.657,49.312,12.077,12:25PM,Fine
12/03/19,68.292,4.878,48.952,12.217,1:05PM,Fine
11/03/19,21.301,1.5219999999999998,4.979,5.747999999999999,1:50PM,Cloudy
10/03/19,43.141000000000005,3.082,22.666999999999998,11.742,1:15PM,Partly Cloudy
09/03/19,44.702,3.193,20.568,12.217,12:05PM,Partly Cloudy
08/03/19,50.733999999999995,3.6239999999999997,28.654,12.118,1:50PM,Partly Cloudy
07/03/19,41.966,2.998,27.026999999999997,12.087,12:15PM,Partly Cloudy
06/03/19,19.160999999999998,1.369,2.5140000000000002,6.792999999999999,9:40AM,Cloudy
05/03/19,58.144,4.1530000000000005,47.211999999999996,11.194,12:40PM,Partly Cloudy
04/03/19,32.247,2.303,20.526,9.708,12:05PM,Mostly Cloudy
03/03/19,37.896,2.707,13.924000000000001,11.998,9:45AM,Mostly Cloudy
02/03/19,12.738,0.91,2.895,4.499,11:10AM,Showers
01/03/19,65.035,4.645,41.917,11.482999999999999,12:50PM,Fine
28/02/19,45.853,3.275,22.046,12.198,1:15PM,Partly Cloudy
27/02/19,72.596,5.185,51.208999999999996,11.375,12:00PM,Fine
26/02/19,47.095,3.364,20.694000000000003,10.821,12:35PM,Partly Cloudy
25/02/19,74.98,5.356,48.973,11.437999999999999,11:50AM,Fine
24/02/19,72.137,5.153,47.956,11.4,11:50AM,Fine
23/02/19,77.622,5.544,48.92100000000001,11.499,11:35AM,Fine
22/02/19,78.078,5.577000000000001,45.287,11.795,12:10PM,Fine
21/02/19,15.587,1.113,2.94,9.032,1:15PM,Cloudy
20/02/19,27.976,1.9980000000000002,8.205,11.032,10:05AM,Mostly Cloudy
19/02/19,77.03399999999999,5.502000000000001,50.744,11.693,11:30AM,Fine
