DateTime,Generated,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-09-20 19:15:00+00:00,0.8240134771098742,24.9,-171,0.0,8.6,95,998,849,944,10.7,35.4,0.0,977.0,254,3.2,32
2019-05-27 20:45:00+00:00,0.7778838763770175,16.9,123,5.3,5.6,122,979,925,1047,10.8,47.2,0.0,964.7,276,4.8,19
2019-09-09 20:45:00+00:00,0.6661620513775998,25.2,146,0.0,12.9,94,989,844,937,12.4,46.4,0.0,976.1,245,4.4,31
2019-06-12 17:15:00+00:00,0.7283422999588545,25.8,-98,0.0,14.8,72,1034,866,939,19.3,50.5,0.0,976.6,234,2.1,33
2019-10-21 01:00:00+00:00,0.0002950058613006653,22.8,102,0.0,8.2,8,21,4,11,12.5,39.1,0.0,976.8,307,1.6,90
2019-10-18 00:45:00+00:00,0.01324809216604172,18.8,103,2.8,12.2,24,110,19,43,14.5,65.3,0.0,973.5,227,4.5,87
2019-09-27 21:30:00+00:00,0.35555969598869663,21.4,135,69.9,16.0,223,5,4,227,25.7,71.1,0.0,976.7,280,3.3,44
2019-10-18 23:30:00+00:00,0.2524396208398351,22.7,114,0.0,11.2,63,741,230,292,15.6,48.2,0.0,976.6,285,3.5,72
2019-07-23 15:00:00+00:00,0.05877215455201807,26.3,-82,45.7,16.6,190,59,26,216,42.8,55.4,0.0,979.8,253,0.8,64
2019-05-25 03:00:00+00:00,0.0002328993641847358,13.9,61,0.0,10.7,0,0,0,0,12.4,80.9,0.0,961.6,275,3.0,95
2019-10-01 20:30:00+00:00,0.7891600872596285,22.2,155,1.2,7.4,93,983,769,863,10.7,38.5,0.0,975.9,248,3.4,38
2019-08-05 13:15:00+00:00,0.0012537749105278276,21.1,-71,0.1,14.8,21,64,11,31,20.1,67.5,0.0,978.2,281,1.0,87
2019-06-09 23:15:00+00:00,0.5833702090659959,24.6,87,0.0,14.0,53,1012,672,725,20.1,51.5,0.0,974.2,238,2.1,48
2019-06-03 16:30:00+00:00,0.13922723990963504,23.3,-92,74.5,11.2,197,3,2,199,15.7,46.7,0.0,964.7,250,3.2,43
2019-07-08 13:15:00+00:00,0.008679382971951153,15.6,-67,45.2,12.5,36,17,3,39,18.8,81.9,0.0,980.4,258,0.7,84
2019-07-25 16:45:00+00:00,0.3487512712423628,25.0,-96,28.1,16.0,374,210,156,529,46.8,57.2,0.0,980.4,246,1.5,42
2019-07-11 17:00:00+00:00,0.6860827103275341,25.9,-96,0.0,13.9,89,964,762,851,17.6,47.7,0.0,980.3,261,2.3,38
2019-07-13 17:45:00+00:00,0.743255622578817,27.0,-105,0.0,15.8,111,942,826,937,27.5,50.4,0.0,977.3,228,2.3,29
2019-05-29 16:00:00+00:00,0.5806491681611042,16.3,-89,0.0,11.6,66,989,649,715,16.9,73.6,0.0,961.2,267,1.7,49
2019-07-22 01:15:00+00:00,0.15776602929874,25.3,76,0.1,15.0,69,616,183,253,25.9,53.0,0.0,977.6,266,3.3,73
2019-06-15 02:00:00+00:00,0.03529201698612696,26.6,68,2.7,13.4,49,297,51,99,16.1,44.1,0.0,975.1,258,3.3,82
2019-10-12 14:00:00+00:00,0.013535334715202895,17.2,-100,0.0,-5.2,25,97,17,41,7.8,21.2,0.0,976.3,90,0.8,87
2019-07-26 17:00:00+00:00,0.6257113134747809,28.3,-99,0.0,15.1,129,844,654,783,34.4,44.7,0.0,981.0,273,1.7,39
2019-09-08 19:45:00+00:00,0.626670082524008,25.1,176,0.0,11.9,98,998,890,988,12.0,43.6,0.0,977.8,246,3.7,27
2019-09-15 13:30:00+00:00,0.00253860306961362,22.9,-86,0.0,11.9,11,26,4,16,16.0,49.9,0.0,977.3,311,0.3,89
2019-09-20 22:45:00+00:00,0.5638105441305479,24.9,115,0.0,11.2,74,914,527,601,13.8,42.4,0.0,975.3,267,4.1,55
2019-06-27 21:30:00+00:00,0.8236020215664811,26.0,105,0.0,12.1,53,1095,988,1041,14.0,42.1,0.0,976.3,236,3.5,25
2019-08-19 21:00:00+00:00,0.7586153356468004,28.5,134,0.0,13.0,107,960,860,967,14.3,38.6,0.0,974.6,272,4.0,26
2019-10-18 15:15:00+00:00,0.21849453850990988,16.6,-114,0.1,11.2,71,693,206,277,14.9,70.8,0.0,977.5,279,0.2,73
2019-06-28 00:00:00+00:00,0.4578801499871905,26.0,82,0.0,12.1,47,984,540,586,14.0,42.1,0.0,976.3,236,3.5,57
2019-08-05 23:00:00+00:00,0.5736078440505857,32.2,98,0.0,11.2,97,875,605,702,22.7,27.7,0.0,976.7,274,3.9,46
2019-06-14 13:45:00+00:00,0.03145305913314857,26.7,-71,69.0,13.5,57,5,1,58,16.2,44.2,0.0,975.1,258,3.3,77
2019-09-26 16:30:00+00:00,0.08803595966183013,19.7,-119,61.5,16.2,216,13,7,224,36.1,80.4,0.0,980.7,218,2.6,54
2019-09-27 20:00:00+00:00,0.2971524171072346,20.8,167,57.7,16.1,356,19,15,371,26.4,74.6,0.0,977.9,274,2.8,35
2019-08-30 22:00:00+00:00,0.6159101318986733,30.6,118,0.0,16.1,103,911,699,803,23.5,41.5,0.0,978.2,258,4.0,40
2019-07-22 23:00:00+00:00,0.5121612284665129,29.2,94,31.0,16.0,354,187,133,487,40.3,44.7,0.0,978.8,258,3.1,45
2019-07-11 23:45:00+00:00,0.49086646326788863,28.7,85,0.0,12.7,74,894,531,604,21.7,37.2,0.0,978.2,274,3.1,54
